system:index,ALAND,AWATER,COMID,DIVISION,EVENTDATE,EventType,FEATURECLA,FEATURECOM,FEATUREDET,FLComID,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,Measure,NAME,Offset,REACHCODE,REACHRESOL,REACHSMDAT,REGION,SOURCE_DAT,SOURCE_FEA,SOURCE_ORI,STATEFP,STATENS,STUSPS,distance,imp_nlcd_2011,.geo
00000000000000004341,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01483050,9482442,A,34,+40.1072744,-074.6652012,00,G4000,89.23364,New Jersey,0.0,02040206000172,Medium,,1,,01483050,"USGS, Water Resources Division",34,01779795,NJ,30.0,1.005476713180542,"{""type"":""Polygon"",""coordinates"":[[[-75.46068488500342,39.50946840386682],[-75.46086370062342,39.509450480988505],[-75.46103064461143,39.50939790226022],[-75.46117463354828,39.509314158398354],[-75.46128610809396,39.50920480916522],[-75.46135766764101,39.50907711423637],[-75.46138456161596,39.5089395512123],[-75.4613650048163,39.50880125278012],[-75.4613002958605,39.50867140039656],[-75.4611947309051,39.50855861474716],[-75.46105531837537,39.508470383446756],[-75.46089131366128,39.50841256397098],[-75.46071360467646,39.50838899481166],[-75.46053398906788,39.50840124066422],[-75.46036439104982,39.50844848855844],[-75.46021606983807,39.50852760182582],[-75.46009887221744,39.508633328322084],[-75.46002057884978,39.508758649085756],[-75.45998638771331,39.508895244292255],[-75.45999856897078,39.509034045576456],[-75.46005631419015,39.50916583806125],[-75.46015578994563,39.50928187212668],[-75.4602903922582,39.50937444430399],[-75.46045118499894,39.509437408725475],[-75.46062749315672,39.50946658516888],[-75.46068488500342,39.50946840386682]]]}"
00000000000000004342,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411110,9434111,A,34,+40.1072744,-074.6652012,00,G4000,9.18881,New Jersey,0.0,02040302000032,Medium,,1,,01411110,"USGS, Water Resources Division",34,01779795,NJ,0.0,5.000112533569336,"{""type"":""Point"",""coordinates"":[-74.7794100487548,39.513744301047424]}"
00000000000000004343,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01410225,9453443,A,34,+40.1072744,-074.6652012,00,G4000,18.94085,New Jersey,0.0,02040301000473,Medium,,1,,01410225,"USGS, Water Resources Division",34,01779795,NJ,0.0,6.936668395996094,"{""type"":""Point"",""coordinates"":[-74.50515303846261,39.506525016441934]}"
00000000000000004344,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411196,9436617,A,34,+40.1072744,-074.6652012,00,G4000,60.26821,New Jersey,0.0,02040302000521,Medium,,1,,01411196,"USGS, Water Resources Division",34,01779795,NJ,0.0,5.23153018951416,"{""type"":""Point"",""coordinates"":[-74.69289011101479,39.4686494120942]}"
00000000000000004345,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411140,9433773,A,34,+40.1072744,-074.6652012,00,G4000,9.8853,New Jersey,0.0,02040302000108,Medium,,1,,01411140,"USGS, Water Resources Division",34,01779795,NJ,0.0,1.8197640180587769,"{""type"":""Point"",""coordinates"":[-74.78189376804157,39.50712253598309]}"
00000000000000004346,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411382,9437381,A,34,+40.1072744,-074.6652012,00,G4000,28.11014,New Jersey,0.0,02040302027229,Medium,,1,,01411382,"USGS, Water Resources Division",34,01779795,NJ,0.0,24.163501739501953,"{""type"":""Point"",""coordinates"":[-74.83476532923228,38.989220244133996]}"
00000000000000004347,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411500,9485398,A,34,+40.1072744,-074.6652012,00,G4000,40.78628,New Jersey,0.0,02040206001807,Medium,,1,,01411500,"USGS, Water Resources Division",34,01779795,NJ,30.0,5.358249664306641,"{""type"":""Polygon"",""coordinates"":[[[-75.07615876476055,39.49640323778031],[-75.0763375467676,39.496385314902064],[-75.07650445937439,39.49633273617393],[-75.0766484212452,39.49624899231232],[-75.07675987483694,39.49613964307943],[-75.07683142093323,39.49601194815076],[-75.07685830985349,39.495874385126754],[-75.0768387567306,39.49573608669453],[-75.07677405993873,39.4956062343108],[-75.07666851482679,39.49549344866116],[-75.07652912850257,39.495405217360506],[-75.07636515461633,39.49534739788455],[-75.07618747903521,39.49532382872514],[-75.07600789718869,39.49533607457775],[-75.0758383310498,39.49538332247214],[-75.07569003771802,39.49546243573974],[-75.07557286212737,39.495568162236246],[-75.07549458347707,39.495693483000125],[-75.07546039876817,39.49583007820671],[-75.07547257773653,39.495968879490874],[-75.07553031210193,39.49610067197552],[-75.07562976915901,39.49621670604073],[-75.07576434617006,39.49630927821779],[-75.07592510868592,39.49637224263907],[-75.07610138370212,39.496401419082375],[-75.07615876476055,39.49640323778031]]]}"
00000000000000004348,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01412500,9484396,A,34,+40.1072744,-074.6652012,00,G4000,3.60499,New Jersey,0.0,02040206001164,Medium,,1,,01412500,"USGS, Water Resources Division",34,01779795,NJ,0.0,0.9294165372848511,"{""type"":""Point"",""coordinates"":[-75.25890610323393,39.48525956351819]}"
00000000000000004349,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411390,9437461,A,34,+40.1072744,-074.6652012,00,G4000,44.96466,New Jersey,0.0,02040302027163,Medium,,1,,01411390,"USGS, Water Resources Division",34,01779795,NJ,0.0,20.277448654174805,"{""type"":""Point"",""coordinates"":[-74.89061556992668,38.95059551080932]}"
0000000000000000434a,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01412800,9484462,A,34,+40.1072744,-074.6652012,00,G4000,21.03516,New Jersey,0.0,02040206000148,Medium,,1,,01412800,"USGS, Water Resources Division",34,01779795,NJ,0.0,1.6384490728378296,"{""type"":""Point"",""coordinates"":[-75.25540124980593,39.47238167967592]}"
0000000000000000434b,19049723313,3542963551,0,2,1417680000000,StreamGage,0,0,http://waterdata.usgs.gov/nwis/nwisman/?site_no=01411495,9481846,A,34,+40.1072744,-074.6652012,00,G4000,9.12419,New Jersey,0.0,02040206000262,Medium,,1,,01411495,"USGS, Water Resources Division",34,01779795,NJ,0.0,10.327569961547852,"{""type"":""Point"",""coordinates"":[-75.07219462392406,39.505615359827026]}"
